dish,fruits,vegetables,proteins,grains,calories,price
turkey sub,0.194435818,0.057538298,0.12906106,0.050699728,115.8095108,0.590963195
refried beans,0.063381999,0.070257122,0.138732884,0.414465489,125.1249044,0.267716115
jicama,0.197077811,0.144127223,0.041957912,0.381522261,177.6468696,0.778466155
green pepper strips,0.128841802,0.28233958,0.162868272,0.222734744,139.1328456,0.187826885
cantaloupe wedges,0.130319496,0.364940971,0.02923356,0.124171163,45.6162284,0.286995051
skim milk,0.274601042,0.357714821,0.042632282,0.027858154,67.07344839,0.390659136
mustard,0.186563472,0.351959089,0.190295555,0.756375502,96.38511432,0.741477517
reduced fat mayonaise,0.284413307,0.268968928,0.113801057,0.294130917,103.3309403,0.091958297
low fat ranch dip,0.269556249,0.256286149,0.043534129,0.612767436,34.37393723,0.670979746
spaghetti with meat sauce,0.200929785,0.108951659,0.034678758,0.320104759,178.7784354,0.152037958
"green beans, cooked",0.19198842,0.333078344,0.138623311,0.608103132,152.0946786,0.890118477
broccoli,0.181250438,0.106296496,0.162155852,0.479896661,85.49888991,0.697001363
cauliflower,0.186166941,0.312462131,0.195366088,0.591113461,194.3119623,0.70779428
kiwi halves,0.027197672,0.117131869,0.065264724,0.146388481,66.55703611,0.801732402
low-fat milk,0.102340865,0.001035465,0.126157221,0.762283986,186.4472133,0.586475679
soft margarine,0.145298078,0.177876751,0.055380903,0.0833064,131.4818732,0.387715057
chef salad,0.237488959,0.265032682,0.159129023,0.142584551,9.008778055,0.146036525
"corn, cooked",0.086070879,0.298927437,0.002692642,0.317147681,43.39802641,0.978266514
"baby carrots, raw",0.075038372,0.254761806,0.196478684,0.112064145,56.39015812,0.234695228
banana,0.140742032,0.195555415,0.126232911,0.397455754,155.5330657,0.460472692
low fat ranch dressing,0.034027852,0.369773969,0.16543778,0.28258885,106.1780493,0.272270004
low far italian dressing,0.249324868,0.315710288,0.173378309,0.135106909,43.96239714,0.204452216
baked fish nuggets,0.185945911,0.08964829,0.007331413,0.035232233,189.9908552,0.945134524
mashed potatoes,0.21557161,0.235417513,0.015231268,0.41195371,67.99976974,0.979254852
steamed broccoli,0.187340961,0.057371622,0.079296698,0.307954247,65.38140529,0.214982362
peaches,0.250790615,0.358857561,0.02532356,0.327034817,113.964437,0.801433198
tarter sauce,0.098417347,0.316077103,0.12513809,0.163060313,198.9293961,0.788787629
cheese pizza,0.014371828,0.233647922,0.106132946,0.755983546,32.10295794,0.32303781
sweet potato fries,0.278778459,0.039348663,0.145191251,0.792122739,9.582744102,0.949406183
grape tomatoes,0.096076809,0.250846188,0.003698526,0.272493186,92.32897034,0.301808728
applesauce,0.099960354,0.273756162,0.13179746,0.671329662,185.8103539,0.03031496
